,AcresBurned,ArchiveYear,CrewsInvolved,Dozers,Engines,Fatalities,Featured,Final,Helicopters,Injuries,Latitude,Longitude,MajorIncident,Name,PersonnelInvolved,Started,UniqueId,Updated,Duration
68,159.0,2013,,,,,False,True,,,38.34599,-122.6503,False,Crane Fire,,2013-10-04 12:25:00+00:00,1460f2d9-853b-4901-bed3-ac196e00bb3a,2013-10-05 07:45:00+00:00,19.333333333333332
69,158.0,2013,,,,,False,True,,,38.17693,-122.51253,False,Lakeville Fire,,2013-07-26 13:45:00+00:00,c9b5d1ff-c042-4b39-8bac-b10fb6fc6c13,2013-07-26 17:45:00+00:00,4.0
71,150.0,2013,,,,,False,True,,,33.990128000000006,-117.164997,False,Redlands Fire,,2013-07-16 17:48:00+00:00,d48a839f-d8da-44d7-9b35-b9f61aa28c61,2013-07-17 07:45:00+00:00,13.95
72,150.0,2013,,,,,False,True,,,37.436,-121.1955,False,Diablo Fire,,2013-07-12 15:35:00+00:00,873074c8-4b6d-417b-a78c-1d1430027805,2013-07-13 21:45:00+00:00,30.166666666666668
73,150.0,2013,,,,,False,True,,,36.7218,-119.2248,False,George Fire,,2013-06-25 13:36:00+00:00,23ec2f69-da30-4983-80c2-1f04bfea6f9a,2013-06-25 17:15:00+00:00,3.65
75,149.0,2013,,,,,False,True,,,34.419284000000005,-118.58688000000001,False,Magic Fire,,2013-05-28 11:30:00+00:00,794412f2-1ba2-4217-ac38-49272a96fb6f,2013-05-29 15:30:00+00:00,28.0
76,134.0,2013,,,,,False,True,,,36.258,-118.459,False,Angora Fire,,2013-09-08 11:53:00+00:00,d332a628-6290-4e91-b8d0-4dc663b80c38,2013-09-24 20:15:00+00:00,392.3666666666667
77,125.0,2013,9.0,5.0,17.0,,False,True,5.0,,38.638828000000004,-122.655616,True,Yellow Fire,249.0,2013-05-01 02:01:00+00:00,64e4f81e-d872-44c4-ba8d-111fa77124ba,2013-05-03 06:15:00+00:00,52.233333333333334
78,124.0,2013,,,,,False,True,,,38.08744,-122.13802,False,California Fire,,2013-06-18 15:18:00+00:00,2b403f03-fe84-450a-90b7-befb8acc7e70,2013-06-18 22:30:00+00:00,7.2
79,124.0,2013,,,,,False,True,,,37.03776,-121.00693899999999,False,152 Fire,,2013-06-04 15:42:00+00:00,f9e85371-fc46-4f54-822c-7dcdaadde551,2013-06-05 08:30:00+00:00,16.8
